year,GEOID,NAME,variable,estimate
2009,5001776750,"Washington town, Orange County, Vermont",Mortgaged SMOC,1316
2009,5001776750,"Washington town, Orange County, Vermont",Non-Mortgaged SMOC,434
2009,5001779975,"West Fairlee town, Orange County, Vermont",Mortgaged SMOC,1261
2009,5001779975,"West Fairlee town, Orange County, Vermont",Non-Mortgaged SMOC,540
2009,5001784175,"Williamstown town, Orange County, Vermont",Mortgaged SMOC,1204
2009,5001784175,"Williamstown town, Orange County, Vermont",Non-Mortgaged SMOC,528
2009,5001900475,"Albany town, Orleans County, Vermont",Mortgaged SMOC,1114
2009,5001900475,"Albany town, Orleans County, Vermont",Non-Mortgaged SMOC,386
2009,5001903550,"Barton town, Orleans County, Vermont",Mortgaged SMOC,1148
2009,5001903550,"Barton town, Orleans County, Vermont",Non-Mortgaged SMOC,494
2009,5001909850,"Brownington town, Orleans County, Vermont",Mortgaged SMOC,941
2009,5001909850,"Brownington town, Orleans County, Vermont",Non-Mortgaged SMOC,383
2009,5001913150,"Charleston town, Orleans County, Vermont",Mortgaged SMOC,1031
2009,5001913150,"Charleston town, Orleans County, Vermont",Non-Mortgaged SMOC,393
2009,5001916150,"Coventry town, Orleans County, Vermont",Mortgaged SMOC,986
2009,5001916150,"Coventry town, Orleans County, Vermont",Non-Mortgaged SMOC,388
2009,5001916300,"Craftsbury town, Orleans County, Vermont",Mortgaged SMOC,1259
2009,5001916300,"Craftsbury town, Orleans County, Vermont",Non-Mortgaged SMOC,583
2009,5001917350,"Derby town, Orleans County, Vermont",Mortgaged SMOC,1155
2009,5001917350,"Derby town, Orleans County, Vermont",Non-Mortgaged SMOC,428
2009,5001928075,"Glover town, Orleans County, Vermont",Mortgaged SMOC,1265
2009,5001928075,"Glover town, Orleans County, Vermont",Non-Mortgaged SMOC,534
2009,5001930175,"Greensboro town, Orleans County, Vermont",Mortgaged SMOC,1120
2009,5001930175,"Greensboro town, Orleans County, Vermont",Non-Mortgaged SMOC,569
2009,5001933775,"Holland town, Orleans County, Vermont",Mortgaged SMOC,1027
2009,5001933775,"Holland town, Orleans County, Vermont",Non-Mortgaged SMOC,479
2009,5001935575,"Irasburg town, Orleans County, Vermont",Mortgaged SMOC,1074
2009,5001935575,"Irasburg town, Orleans County, Vermont",Non-Mortgaged SMOC,451
2009,5001936325,"Jay town, Orleans County, Vermont",Mortgaged SMOC,1154
2009,5001936325,"Jay town, Orleans County, Vermont",Non-Mortgaged SMOC,479
2009,5001940525,"Lowell town, Orleans County, Vermont",Mortgaged SMOC,1108
2009,5001940525,"Lowell town, Orleans County, Vermont",Non-Mortgaged SMOC,364
2009,5001946450,"Morgan town, Orleans County, Vermont",Mortgaged SMOC,1028
2009,5001946450,"Morgan town, Orleans County, Vermont",Non-Mortgaged SMOC,400
2009,5001948850,"Newport city, Orleans County, Vermont",Mortgaged SMOC,1039
2009,5001948850,"Newport city, Orleans County, Vermont",Non-Mortgaged SMOC,614
2009,5001948925,"Newport town, Orleans County, Vermont",Mortgaged SMOC,1049
2009,5001948925,"Newport town, Orleans County, Vermont",Non-Mortgaged SMOC,512
2009,5001973525,"Troy town, Orleans County, Vermont",Mortgaged SMOC,1115
2009,5001973525,"Troy town, Orleans County, Vermont",Non-Mortgaged SMOC,458
2009,5001980200,"Westfield town, Orleans County, Vermont",Mortgaged SMOC,1208
2009,5001980200,"Westfield town, Orleans County, Vermont",Non-Mortgaged SMOC,515
2009,5001981700,"Westmore town, Orleans County, Vermont",Mortgaged SMOC,1100
2009,5001981700,"Westmore town, Orleans County, Vermont",Non-Mortgaged SMOC,500
2009,5002105200,"Benson town, Rutland County, Vermont",Mortgaged SMOC,1186
2009,5002105200,"Benson town, Rutland County, Vermont",Non-Mortgaged SMOC,479
2009,5002107750,"Brandon town, Rutland County, Vermont",Mortgaged SMOC,1218
2009,5002107750,"Brandon town, Rutland County, Vermont",Non-Mortgaged SMOC,526
2009,5002111950,"Castleton town, Rutland County, Vermont",Mortgaged SMOC,1218
